ID,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
1,Cobram,BP,3701 Murray Valley Highway,Cobram,Victoria,-35.9211754139999,145.638305815
2,Horsham,Atlas Fuels Pty Ltd,2 O'Callaghans Parade,Horsham,Victoria,-36.7191071299999,142.199983937
3,Paynesville,7-Eleven Pty Ltd,Paynesville Road,Paynesville,Victoria,-37.9070616619999,147.719016274
4,Lakes Entrance,7-Eleven Pty Ltd,16 Princes Highway,Lakes Entrance,Victoria,-37.874816895,148.007873535
5,Oz Fuel,Oz Fuel,653 Deception Bay Road,Deception Bay,Queensland,-27.2051319999999,153.038373
6,Independent,Independent Fuel Supplies,653 Deception Bay Road,Deception Bay,Queensland,-27.205189,153.038314
7,Coles Express Rothwell,Shell,761 Deception Bay Road,Rothwell,Queensland,-27.2139079999999,153.047045
8,Independent Kempsey,Independent Fuel Supplies,101 Smith Street,Kempsey,New South Wales,-31.0752869999999,152.843878
9,Independent Wanneroo,Independent Fuel Supplies,951 Wanneroo Road,Wanneroo,Western Australia,-31.75262,115.803339
10,Gull Madeley,Gull,182 Wanneroo Road,Madeley,Western Australia,-31.816954,115.82135
11,Gull Dianella,Gull,63 Walter Road West,Dianella,Western Australia,-31.906418,115.881988
12,Liberty-Como,Liberty,25 Preston Street,Como,Western Australia,-31.9942599999999,115.859453
13,Independent Maddington,Independent Fuel Supplies,137 Kelvin Road,Maddington,Western Australia,-32.0346539999999,116.000983
14,Caltex Wellington,Caltex,124 Lee Street,Wellington,New South Wales,-32.550847,148.941095
15,Independent Wellington,Independent Fuel Supplies,156-174 Mitchell Highway,Wellington,New South Wales,-32.5625029999999,148.943067
16,Independent Taralga,Independent Fuel Supplies,60 Bunnaby Street,Taralga,New South Wales,-34.405932,149.818929
17,Independent Crookwell,Independent Fuel Supplies,204 Goulburn Street,Crookwell,New South Wales,-34.4610739999999,149.474369
18,BP Kerang,BP,19 Wellington Street,Kerang,Victoria,-35.7347389999999,143.922234
19,BP Serpentine,BP,Loddon Valley Highway and Bridgewater-Serpentine Road,Serpentine,Victoria,-36.4141729999999,143.974645
